Cartographie PMSI; ; 
Référentiel géographique : France par code géographique PMSI; ; 
Code;Libellé;Séjours PMSI MCO au lieu de résidence 2018
10440;LA RIVIÈRE-DE-CORPS;N/A
10450;BRÉVIANDES;N/A
10500;BRIENNE-LE-CHÂTEAU;N/A
10510;MAIZIÈRES-LA-GRANDE-PAROISSE;N/A
10600;LA CHAPELLE-SAINT-LUC;N/A
10700;ARCIS-SUR-AUBE;N/A
10800;SAINT-JULIEN-LES-VILLAS;N/A
10C01;AIX-VILLEMAUR-PÂLIS;N/A
11000;CARCASSONNE;N/A
11100;NARBONNE;N/A
11110;COURSAN;N/A
11120;ARGELIERS;N/A
11140;AXAT;N/A
11150;BRAM;N/A
11160;RIEUX-MINERVOIS;N/A
11170;ALZONNE;N/A
11200;LÉZIGNAN-CORBIÈRES;N/A
11210;PORT-LA-NOUVELLE;N/A
11220;SAINT-LAURENT-DE-LA-CABRERISS;N/A
11230;CHALABRE;N/A
11240;BELVÈZE-DU-RAZÈS;N/A
11250;POMAS;N/A
11260;ESPÉRAZA;N/A
11270;FANJEAUX;N/A
11290;MONTRÉAL;N/A
11300;LIMOUX;N/A
11310;SAISSAC;N/A
11320;LABASTIDE-D'ANJOU;N/A
11330;LAROQUE-DE-FA;N/A
11340;BELCAIRE;N/A
11350;TUCHAN;N/A
11360;DURBAN-CORBIÈRES;N/A
11370;LEUCATE;N/A
11400;CASTELNAUDARY;N/A
11410;SALLES-SUR-L'HERS;N/A
11420;BELPECH;N/A
11430;GRUISSAN;N/A
11480;LA PALME;N/A
11500;QUILLAN;N/A
11510;FITOU;N/A
11560;FLEURY;N/A
11570;PALAJA;N/A
11590;CUXAC-D'AUDE;N/A
11600;CONQUES-SUR-ORBIEL;N/A
11610;PENNAUTIER;N/A
11620;VILLEMOUSTAUSSOU;N/A
11700;CAPENDU;N/A
11800;TRÈBES;N/A
11C01;PORTEL-DES-CORBIÈRES/PEYRIAC-;N/A
11C02;COUIZA/ALET-LES-BAINS;N/A
11C04;MAS-CABARDÈS/CUXAC-CABARDÈS;N/A
11C05;SIGEAN/ROQUEFORT-DES-CORBIÈRE;N/A
12100;MILLAU;N/A
12110;AUBIN;N/A
12120;CASSAGNES-BÉGONHÈS;N/A
12130;SAINT GENIEZ D'OLT ET D'AUBRA;N/A
12140;ENTRAYGUES-SUR-TRUYÈRE;N/A
12150;SÉVÉRAC D'AVEYRON;N/A
12160;BARAQUEVILLE;N/A
12170;RÉQUISTA;N/A
12200;VILLEFRANCHE-DE-ROUERGUE;N/A
12210;ARGENCES EN AUBRAC;N/A
12220;MONTBAZENS;N/A
12230;LA CAVALERIE;N/A
12240;RIEUPEYROUX;N/A
12260;VILLENEUVE;N/A
12270;LA FOUILLADE;17
12290;PONT-DE-SALARS;N/A
12300;DECAZEVILLE;N/A
12310;LAISSAC-SÉVÉRAC L'ÉGLISE;N/A
12320;CONQUES-EN-ROUERGUE;N/A
12330;SALLES-LA-SOURCE;N/A
12340;BOZOULS;N/A
12350;MALEVILLE;N/A
12360;CAMARÈS;N/A
12370;BELMONT-SUR-RANCE;N/A
12380;SAINT-SERNIN-SUR-RANCE;N/A
12390;RIGNAC;N/A
12400;SAINT-AFFRIQUE;N/A
12410;SALLES-CURAN;N/A
12420;ARGENCES EN AUBRAC;N/A
12430;VILLEFRANCHE-DE-PANAT;N/A
12440;LA SALVETAT-PEYRALÈS;N/A
12450;LUC-LA-PRIMAUBE;N/A
12460;SAINT-AMANS-DES-COTS;N/A
12470;SAINT-CHÉLY-D'AUBRAC;N/A
12480;BROQUIÈS;N/A
12490;SAINT-ROME-DE-CERNON;N/A
12500;ESPALION;N/A
12520;AGUESSAC;N/A
12550;COUPIAC;N/A
12560;SAINT-LAURENT-D'OLT;N/A
12600;MUR-DE-BARREZ;N/A
12630;MONTROZIER;N/A
12700;CAPDENAC-GARE;N/A
12740;SÉBAZAC-CONCOURÈS;N/A
12800;NAUCELLE;N/A
12C01;ROQUEFORT-SUR-SOULZON/CORNUS;N/A
12C02;RIVIÈRE-SUR-TARN/MOSTUÉJOULS;N/A
12C03;VÉZINS-DE-LÉVÉZOU/SAINT-BEAUZ;N/A
12C04;LE NAYRAC/CAMPUAC;N/A
12C05;RODEZ/ONET-LE-CHÂTEAU/OLEMPS;N/A
13001;MARSEILLE 1ER ARRONDISSEMENT;N/A
13002;MARSEILLE 2E ARRONDISSEMENT;N/A
13003;MARSEILLE 3E ARRONDISSEMENT;N/A
13004;MARSEILLE 4E ARRONDISSEMENT;N/A
13005;MARSEILLE 5E ARRONDISSEMENT;N/A
13006;MARSEILLE 6E ARRONDISSEMENT;N/A
13007;MARSEILLE 7E ARRONDISSEMENT;N/A
13008;MARSEILLE 8E ARRONDISSEMENT;N/A
13009;MARSEILLE 9E ARRONDISSEMENT;N/A
13010;MARSEILLE 10E ARRONDISSEMENT;N/A
13011;MARSEILLE 11E ARRONDISSEMENT;N/A
13012;MARSEILLE 12E ARRONDISSEMENT;N/A
13013;MARSEILLE 13E ARRONDISSEMENT;N/A
13014;MARSEILLE 14E ARRONDISSEMENT;N/A
13015;MARSEILLE 15E ARRONDISSEMENT;N/A
13016;MARSEILLE 16E ARRONDISSEMENT;N/A
13100;AIX-EN-PROVENCE;N/A
13103;SAINT-ÉTIENNE-DU-GRÈS;N/A
13105;MIMET;N/A
13109;SIMIANE-COLLONGUE;N/A
13110;PORT-DE-BOUC;N/A
13111;COUDOUX;N/A
13112;LA DESTROUSSE;N/A
13113;LAMANON;N/A
13114;PUYLOUBIER;N/A
13119;SAINT-SAVOURNIN;N/A
13120;GARDANNE;N/A
13122;VENTABREN;N/A
13124;PEYPIN;N/A
13127;VITROLLES;N/A
13130;BERRE-L'ÉTANG;N/A
13140;MIRAMAS;N/A
13150;TARASCON;N/A
13160;CHÂTEAURENARD;N/A
13170;LES PENNES-MIRABEAU;N/A
13180;GIGNAC-LA-NERTHE;N/A
13190;ALLAUCH;N/A
13200;ARLES;N/A
13210;SAINT-RÉMY-DE-PROVENCE;N/A
13220;CHÂTEAUNEUF-LES-MARTIGUES;N/A
13230;PORT-SAINT-LOUIS-DU-RHÔNE;N/A
13240;SEPTÈMES-LES-VALLONS;N/A
13250;SAINT-CHAMAS;N/A
13260;CASSIS;N/A
13270;FOS-SUR-MER;N/A
13300;SALON-DE-PROVENCE;N/A
13310;SAINT-MARTIN-DE-CRAU;N/A
13320;BOUC-BEL-AIR;N/A
13330;PÉLISSANNE;N/A
13340;ROGNAC;N/A
13350;CHARLEVAL;N/A
13360;ROQUEVAIRE;N/A
13370;MALLEMORT;N/A
13380;PLAN-DE-CUQUES;N/A
13390;AURIOL;N/A
13400;AUBAGNE;N/A
13410;LAMBESC;N/A
13420;GÉMENOS;N/A
13430;EYGUIÈRES;N/A
13440;CABANNES;N/A
13450;GRANS;N/A
13460;SAINTES-MARIES-DE-LA-MER;N/A
13470;CARNOUX-EN-PROVENCE;N/A
13480;CABRIÈS;N/A
13500;MARTIGUES;N/A
